brand_a,brand_b
499.1700016,500.4250246
497.9183667,502.8943423
496.2034739,502.2537436
497.9692707,503.1126846
499.5347364,502.7162725
501.6581354,505.7014237
499.7281489,503.4727273
501.2060008,505.8797979
498.5133257,499.6245196
496.6746532,504.7264181
495.11701,503.4106249
493.9312687,504.5592492
497.8667191,501.3530389
500.2913912,504.8491105
498.4643818,502.5062429
496.3956131,502.6854023
499.0984201,501.6440356
495.9148658,503.4517928
497.5362179,499.5503542
501.3820307,503.2796837
495.6484514,502.4822416
497.2862316,501.5181535
498.8602902,505.2894927
498.1911214,499.7281016
497.3387093,504.3490668
497.5603745,501.6513891
498.590195,502.5022173
500.1476947,499.946307
498.245662,503.6043445
496.6108095,501.3758504
498.3402737,502.3061926
499.1895273,502.4374529
496.2665546,501.9146991
497.2988041,503.5011636
497.7486781,502.8609992
498.9577723,503.0034207
499.1037133,503.1904052
498.4390992,499.1385741
496.5298723,504.4527138
500.4323471,505.5431081
496.6369721,500.6485439
496.1826207,502.6474796
496.4912571,500.4948356
500.3765682,499.8342627
494.2518112,501.6584051
496.5129159,499.6386358
498.0351454,500.9164521
499.8324307,501.2606624
499.0086403,502.3342539
501.6241472,499.9530039
498.5983175,505.3885736
499.6713846,501.7489541
497.522435,503.8569408
496.4423575,503.5723977
502.4943392,500.5849445
498.6344221,500.5303138
498.1100995,505.8492735
498.2157453,499.5657779
498.5739477,501.9758681
498.3296959,503.4686019
496.7733776,501.2221942
500.4888455,500.8560532
497.3873892,503.6722606
498.109823,501.5429277
501.7592536,501.2421893
502.4822125,501.6113499
496.1573159,502.968668
495.9861872,500.5315084
501.3017016,500.6943678
496.3662297,501.6645273
500.6702177,506.2999673
499.8310166,501.4830354
496.0558946,502.7378072
499.5044738,500.318607
497.6558148,501.5619948
495.6552641,500.3667614
494.9406567,501.8835047
499.5857164,503.5649027
498.0295574,503.0984429
495.461481,498.3055851
500.0532322,499.5105051
498.1874736,502.2064964
497.1558572,498.7604099
498.3860116,504.0450743
497.4496362,505.7637422
496.0540665,501.8101061
500.1746457,504.6522504
498.5448901,502.5619255
498.6917774,498.0190521
496.7618721,500.0624487
498.2328878,502.6079041
497.545916,502.2018983
498.0948522,501.6733361
493.6346472,503.5136026
493.7079466,500.4783013
493.2702132,503.0289629
498.0669159,500.4221912
497.4326592,502.8630399
499.7249875,503.0982889
498.6322476,502.4663639
496.5907927,504.5803672
498.3703496,499.6084745
498.8697932,502.7396684
499.764123,502.6456083
499.2747574,501.1274113
496.2512934,500.2268155
496.0568299,502.5005362
498.5283374,500.7874285
497.2441249,503.3871412
498.5934522,504.048214
498.4672953,498.1093265
497.3765817,500.2813713
497.3308257,501.3733128
498.5897045,501.2914905
503.6075823,502.2215822
500.5200493,499.2083716
499.3425333,502.9079896
498.1797682,503.6009583
499.2926582,503.1544052
498.9953147,504.6178402
